"RecordType","Path","Size","Modified","ShortSha256","RpmPath","Name","Version","Release","Epoch","Architecture","License","Summary","SourceRpm","PayloadFormat","PayloadCompressor","PackagedFilePath","ParseStatus","ParseError"
"ISOFile","\dists\trixie\main\i18n\Translation-de_DE.gz","278","5/16/2026 10:12:25 AM","8045d9b2c2b5","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-de.gz","71743","5/16/2026 10:12:20 AM","f72641d32b53","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-el.gz","1201","5/16/2026 10:12:24 AM","d35c281ab44c","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-eo.gz","939","5/16/2026 10:12:23 AM","ff0e0e5e0342","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-es.gz","37286","5/16/2026 10:12:20 AM","f2a497085c8d","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-eu.gz","2277","5/16/2026 10:12:23 AM","e317a3de8641","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-fi.gz","16844","5/16/2026 10:12:18 AM","40278f6575ad","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-fr.gz","73333","5/16/2026 10:12:21 AM","c5e95a555b54","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-gl.gz","781","5/16/2026 10:12:24 AM","cd8a64c8301a","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-hr.gz","3250","5/16/2026 10:12:19 AM","a40ed271e7ba","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-hu.gz","3519","5/16/2026 10:12:22 AM","064aeffbfa91","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-id.gz","1150","5/16/2026 10:12:23 AM","b70c0288c17a","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-it.gz","76747","5/16/2026 10:12:18 AM","81844eaee054","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-ja.gz","65038","5/16/2026 10:12:19 AM","44d682154147","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-km.gz","2336","5/16/2026 10:12:22 AM","7e4dbdf1ec0b","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-ko.gz","46331","5/16/2026 10:12:20 AM","6c36e98c97b7","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-nb.gz","700","5/16/2026 10:12:25 AM","93dd85f2659b","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-nl.gz","6116","5/16/2026 10:12:19 AM","b3ae9cdecc6e","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-pl.gz","68149","5/16/2026 10:12:18 AM","792e269b76ab","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-pt_AO.gz","242","5/16/2026 10:12:24 AM","4d1aeb80fc62","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-pt_BR.gz","69986","5/16/2026 10:12:21 AM","7b7c2901c60e","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-pt.gz","23563","5/16/2026 10:12:20 AM","46792f13d456","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-ro.gz","922","5/16/2026 10:12:23 AM","99b261885794","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-ru.gz","69107","5/16/2026 10:12:19 AM","cc47fe8162f6","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-sk.gz","57030","5/16/2026 10:12:18 AM","1961731fac72","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-sr.gz","16829","5/16/2026 10:12:21 AM","7159931810d6","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-sv.gz","8750","5/16/2026 10:12:22 AM","dc3a665f999e","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-tr.gz","2237","5/16/2026 10:12:24 AM","40d0257e448d","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-uk.gz","56417","5/16/2026 10:12:21 AM","847859b6bed8","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-vi.gz","5112","5/16/2026 10:12:23 AM","e3f96d6458cc","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-zh_CN.gz","45387","5/16/2026 10:12:18 AM","c6b46db03851","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-zh_TW.gz","5207","5/16/2026 10:12:21 AM","d2691a04405b","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\main\i18n\Translation-zh.gz","1157","5/16/2026 10:12:22 AM","d37c68e4d1f8","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\non-free-firmware\binary-amd64\Packages.gz","5242","5/16/2026 10:12:25 AM","eb00df1d70ed","","","","","","","","","","","","","",""
"ISOFile","\dists\trixie\Release","20936","5/16/2026 10:12:25 AM","5313519976f4","","","","","","","","","","","","","",""
"ISOFile","\doc\00-INDEX","995","2/7/2009 12:32:23 AM","d9a98122f68b","","","","","","","","","","","","","",""
"ISOFile","\doc\bug-log-access.txt","2469","7/18/2025 7:53:47 PM","ec6c92fed52c","","","","","","","","","","","","","",""
"ISOFile","\doc\bug-log-mailserver.txt","8903","7/18/2025 7:53:48 PM","10c5f8a12c56","","","","","","","","","","","","","",""
"ISOFile","\doc\bug-mailserver-refcard.txt","3033","10/2/2025 1:53:39 PM","4900e85c3063","","","","","","","","","","","","","",""
"ISOFile","\doc\bug-maint-info.txt","20211","5/4/2026 1:54:02 PM","3d6b5a30871e","","","","","","","","","","","","","",""
"ISOFile","\doc\bug-maint-mailcontrol.txt","21826","10/2/2025 1:53:39 PM","73cb3d6d4b42","","","","","","","","","","","","","",""
"ISOFile","\doc\bug-reporting.txt","17730","12/11/2025 1:52:15 AM","948fa03a982a","","","","","","","","","","","","","",""
"ISOFile","\doc\constitution.txt","31955","8/28/2016 3:37:30 PM","bf556f2dd659","","","","","","","","","","","","","",""
"ISOFile","\doc\debian-manifesto","7038","12/24/2013 10:13:14 AM","bf8a9e78e34f","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\debian-faq.en.html.tar.gz","97883","4/5/2022 5:18:59 PM","94898a8391d3","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\debian-faq.en.pdf.gz","365583","4/5/2022 5:19:01 PM","d20b90e577a0","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\debian-faq.en.txt.gz","58333","4/5/2022 5:19:03 PM","e2a22b6f8e2d","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\basic-defs.en.html","18009","11/23/2021 10:01:38 PM","2eddec6dfc90","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\choosing.en.html","30650","11/23/2021 10:01:38 PM","145fcb9b64ab","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\compatibility.en.html","17300","11/23/2021 10:01:38 PM","1440c33ea96c","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\contributing.en.html","8172","11/23/2021 10:01:39 PM","e0f97e7053de","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\customizing.en.html","24028","11/23/2021 10:01:39 PM","e0454b951925","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\debian.css","4369","11/23/2021 10:01:38 PM","4ed0a3923c3b","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\faqinfo.en.html","7051","11/23/2021 10:01:39 PM","89b344ad7a6a","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\ftparchives.en.html","27741","11/23/2021 10:01:38 PM","a6b992af9d5a","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\getting-debian.en.html","10442","11/23/2021 10:01:38 PM","62f8500b833d","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\annot-close.png","207","11/23/2021 10:02:40 PM","4b94b2c15465","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\annot-open.png","837","11/23/2021 10:02:40 PM","fba47a3b1bc5","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\blank.png","374","11/23/2021 10:01:38 PM","405a1291d17d","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\caution.png","1250","11/23/2021 10:01:38 PM","46751d525872","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\draft.png","16150","11/23/2021 10:01:38 PM","f421b5c5f6e6","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\home.png","1156","11/23/2021 10:01:38 PM","4e153e9cfda1","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\important.png","722","11/23/2021 10:01:38 PM","0e9c96a5bffb","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\next.png","1150","11/23/2021 10:01:38 PM","b434e5885376","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\note.png","490","11/23/2021 10:01:38 PM","50b70e673870","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\prev.png","1132","11/23/2021 10:01:38 PM","1bdcd1385d25","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\tip.png","449","11/23/2021 10:01:38 PM","2b15a81dcbbe","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\toc-blank.png","318","11/23/2021 10:01:38 PM","3d2532562e38","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\toc-minus.png","259","11/23/2021 10:01:38 PM","4e8db41e0362","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\toc-plus.png","264","11/23/2021 10:01:38 PM","c3d13f969c5f","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\up.png","1111","11/23/2021 10:01:38 PM","b94ebd8431f8","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\images\warning.png","1241","11/23/2021 10:01:38 PM","5de66420a0c8","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\index.en.html","27013","11/23/2021 10:01:39 PM","95c0ee96531c","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\kernel.en.html","7001","11/23/2021 10:01:38 PM","eca6626bc649","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\nextrelease.en.html","8803","11/23/2021 10:01:39 PM","c44bf907db9a","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\pkg-basics.en.html","37524","11/23/2021 10:01:38 PM","736df96913d1","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\pkgtools.en.html","29331","11/23/2021 10:01:38 PM","5d2f6d576621","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\redistributing.en.html","6974","11/23/2021 10:01:39 PM","848f41003dcd","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\software.en.html","19055","11/23/2021 10:01:38 PM","8537fc3eaefa","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\support.en.html","18554","11/23/2021 10:01:39 PM","729fd5eb5b3f","","","","","","","","","","","","","",""
"ISOFile","\doc\FAQ\html\uptodate.en.html","14522","11/23/2021 10:01:38 PM","939d5e69781c","","","","","","","","","","","","","",""
"ISOFile","\doc\mailing-lists.txt","74083","7/19/2025 3:36:22 PM","5d3011daeba8","","","","","","","","","","","","","",""
"ISOFile","\doc\social-contract.txt","6874","8/28/2016 3:37:30 PM","6548a5409679","","","","","","","","","","","","","",""
"ISOFile","\doc\source-unpack.txt","2592","12/24/2013 10:13:14 AM","ba79cb1d2087","","","","","","","","","","","","","",""
"ISOFile","\EFI\boot\bootx64.efi","957136","5/16/2026 10:11:06 AM","10b44fae69b1","","","","","","","","","","","","","",""
"ISOFile","\EFI\boot\grubx64.efi","2684352","5/16/2026 10:11:06 AM","425ffb5b84e8","","","","","","","","","","","","","",""
"ISOFile","\EFI\debian\grub.cfg","141","5/16/2026 10:11:06 AM","0e26a07ec6fc","","","","","","","","","","","","","",""
"ISOFile","\firmware\amd64-microcode_3.20250311.1_amd64.deb","277532","3/24/2025 2:51:50 AM","75e0acd56196","","","","","","","","","","","","","",""
"ISOFile","\firmware\atmel-firmware_1.3-7.1_all.deb","146648","6/9/2024 3:22:52 PM","afcde0b5ec41","","","","","","","","","","","","","",""
"ISOFile","\firmware\bluez-firmware_1.2-13_all.deb","189732","2/15/2025 1:46:48 PM","4dba886ff820","","","","","","","","","","","","","",""
"ISOFile","\firmware\Contents-firmware","549913","5/16/2026 10:12:00 AM","2aeb0cb96c44","","","","","","","","","","","","","",""
"ISOFile","\firmware\dahdi-firmware-nonfree_2.11.1.0.20170917-3_all.deb","732612","1/10/2025 7:52:32 AM","457faf60eaf0","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\bluez-firmware.component","17","5/16/2026 10:11:41 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\bluez-firmware.patterns","22","5/16/2026 10:11:41 AM","dfe162edefa8","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\dahdi-firmware-nonfree.component","17","5/16/2026 10:11:42 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\dahdi-firmware-nonfree.patterns","46","5/16/2026 10:11:42 AM","dc229bfadabf","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-amd-graphics.component","17","5/16/2026 10:11:43 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-amd-graphics.patterns","37652","5/16/2026 10:11:43 AM","b21c5b92228b","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-ath9k-htc.component","4","5/16/2026 10:11:37 AM","0d6e4079e367","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-ath9k-htc.patterns","540","5/16/2026 10:11:37 AM","51adf604a08d","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-atheros.component","17","5/16/2026 10:11:44 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-atheros.patterns","6752","5/16/2026 10:11:44 AM","e1552d4b664f","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-b43-installer.component","7","5/16/2026 10:11:40 AM","fc1e87ada6cf","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-b43-installer.patterns","431","5/16/2026 10:11:40 AM","be63daa26959","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-b43legacy-installer.component","7","5/16/2026 10:11:40 AM","fc1e87ada6cf","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-b43legacy-installer.patterns","145","5/16/2026 10:11:40 AM","ab14609919f5","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-bnx2.component","17","5/16/2026 10:11:45 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-bnx2.patterns","520","5/16/2026 10:11:45 AM","cf08ef59e58e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-bnx2x.component","17","5/16/2026 10:11:46 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-bnx2x.patterns","1056","5/16/2026 10:11:45 AM","20348b5b5c41","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-brcm80211.component","17","5/16/2026 10:11:46 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-brcm80211.patterns","2275","5/16/2026 10:11:46 AM","0424d001b8dd","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-carl9170.component","4","5/16/2026 10:11:36 AM","0d6e4079e367","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-carl9170.patterns","1400","5/16/2026 10:11:36 AM","da0729fc8168","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-cavium.component","17","5/16/2026 10:11:47 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-cavium.patterns","176","5/16/2026 10:11:47 AM","9d8c8f96e125","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-intel-graphics.component","17","5/16/2026 10:11:48 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-intel-graphics.patterns","16468","5/16/2026 10:11:48 AM","2b1a25fc9490","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-intel-misc.component","17","5/16/2026 10:11:49 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-intel-misc.patterns","4991","5/16/2026 10:11:49 AM","5658d08a3740","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-ipw2x00.component","17","5/16/2026 10:11:50 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-ipw2x00.patterns","1172","5/16/2026 10:11:50 AM","575e3a207d63","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-ivtv.component","17","5/16/2026 10:11:50 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-ivtv.patterns","738","5/16/2026 10:11:50 AM","f674d1778efb","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-iwlwifi.component","17","5/16/2026 10:11:51 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-iwlwifi.patterns","22384","5/16/2026 10:11:51 AM","24e834aef899","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-libertas.component","17","5/16/2026 10:11:52 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-libertas.patterns","1599","5/16/2026 10:11:52 AM","a4090f6ea3d4","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-linux-free.component","4","5/16/2026 10:11:39 AM","0d6e4079e367","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-linux-free.patterns","21530","5/16/2026 10:11:39 AM","e4ea0efee782","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-mediatek.component","17","5/16/2026 10:11:53 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-mediatek.patterns","23944","5/16/2026 10:11:53 AM","eeaec551dfa7","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-misc-nonfree.component","17","5/16/2026 10:11:55 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-misc-nonfree.patterns","41868","5/16/2026 10:11:55 AM","6de199e519d8","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-myricom.component","17","5/16/2026 10:11:55 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-myricom.patterns","88","5/16/2026 10:11:55 AM","9a86572640a6","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-netronome.component","17","5/16/2026 10:11:56 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-netronome.patterns","600","5/16/2026 10:11:56 AM","a3b8318adc65","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-netxen.component","17","5/16/2026 10:11:56 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-netxen.patterns","690","5/16/2026 10:11:56 AM","a902c4660b5e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-nvidia-graphics.component","17","5/16/2026 10:11:53 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-nvidia-graphics.patterns","235","5/16/2026 10:11:53 AM","983d50baac48","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-qlogic.component","17","5/16/2026 10:11:57 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-qlogic.patterns","1944","5/16/2026 10:11:57 AM","2f142cbf64ff","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-realtek.component","17","5/16/2026 10:11:57 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-realtek.patterns","12058","5/16/2026 10:11:57 AM","c57d5093df32","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-sof-signed.component","17","5/16/2026 10:11:59 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-sof-signed.patterns","2841","5/16/2026 10:11:59 AM","a6f2d9f7c378","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-zd1211.component","17","5/16/2026 10:12:00 AM","ebba8e70bd1e","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\firmware-zd1211.patterns","1180","5/16/2026 10:12:00 AM","b5b9b3259471","","","","","","","","","","","","","",""
"ISOFile","\firmware\dep11\README.txt","84","5/16/2026 10:11:34 AM","187f1f21805c","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-amd-graphics_20250410-2_all.deb","15087716","4/24/2025 8:47:09 PM","22fa89a69904","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-ast_20140808-10_all.deb","9040","3/20/2025 2:58:06 AM","f772d3eeb94e","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-ath9k-htc_1.4.0-110-ge888634+dfsg1-0.1_all.deb","45040","1/5/2025 2:37:48 PM","f001b88b89b8","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-atheros_20250410-2_all.deb","29474828","4/24/2025 8:47:09 PM","8387a45e9307","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-b43-installer_019-14_all.deb","8620","7/17/2025 7:30:24 AM","4f1c3ff18d09","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-b43legacy-installer_019-14_all.deb","7660","7/17/2025 7:30:24 AM","86ed887108aa","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-bnx2_20250410-2_all.deb","155352","4/24/2025 8:47:09 PM","58a34a89a3ee","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-bnx2x_20250410-2_all.deb","1759884","4/24/2025 8:47:09 PM","eb094dafeda9","","","","","","","","","","","","","",""
"ISOFile","\firmware\firmware-brcm80211_20250410-2_all.deb","5379304","4/24/2025 8:47:09 PM","266cc703e229","","","","","","","","","","","","","",""
